datetime,instrument,alpha158_ROC10,alpha158_ROC30,alpha158_ROC60,alpha158_MIN5,alpha158_MIN10,alpha158_MIN30,alpha158_MIN60,alpha158_QTLD10,alpha158_QTLD30,alpha158_QTLD60,alpha158_IMIN20,alpha158_IMIN30,alpha158_IMIN60,alpha158_VSUMN60
2024-06-12,SH600000,1.053016,0.9136508,0.8754762,0.9913687,0.9913687,0.9001241,0.85823053,1.0147619,0.9671905,0.88361907,0.05,0.06666667,0.13333334,0.4928421
2024-06-13,SH600000,1.0442562,0.91267514,0.86596465,0.9889356,0.9889356,0.8979149,0.85612416,1.0019634,0.96853775,0.8819571,0.05,0.033333335,0.11666667,0.4891644
2024-06-14,SH600000,1.0318652,0.9115205,0.86486906,0.98157245,0.98157245,0.92871755,0.855041,0.999747,0.9690045,0.8867241,1.0,0.033333335,0.1,0.4806397
2024-06-17,SH600000,1.0296408,0.95065165,0.8753179,0.98648655,0.98648655,0.9530866,0.85932165,1.0032421,0.9790528,0.8926414,0.95,0.06666667,0.083333336,0.49495915
2024-06-18,SH600000,1.0234705,0.9703238,0.8763625,0.9876639,0.9876639,0.95422405,0.8603473,1.0022118,0.9834355,0.8946615,0.9,0.033333335,0.06666667,0.4952354
2024-06-19,SH600000,1.0121368,0.9512959,0.8527915,0.9720419,0.9720419,0.9440025,0.84673905,0.9863597,0.97419155,0.8826873,0.85,0.06666667,0.05,0.48668784
2024-06-20,SH600000,1.010989,0.9511774,0.85729986,0.97440714,0.97440714,0.94629955,0.8487994,0.98875976,0.98486656,0.8853218,0.8,0.033333335,0.033333335,0.49549124
2024-06-21,SH600000,1.0097692,0.9546995,0.86906165,0.9816627,0.97801524,0.9547379,0.85194236,0.99242103,0.9911763,0.88960844,0.75,0.033333335,0.016666668,0.50142586
2024-06-24,SH600000,1.0196651,0.9742537,0.8638446,0.98406607,0.9804097,0.9619585,0.86015767,0.99485075,0.99485075,0.8920392,0.7,0.1,0.016666668,0.4991851
2024-06-25,SH600000,0.99387753,0.97072214,0.860989,0.97924376,0.97440714,0.95606893,0.862144,0.98875976,0.99095756,0.8875196,0.65,0.06666667,0.016666668,0.48832765
2024-06-26,SH600000,0.9878479,0.95985895,0.8708742,0.9780922,0.9732613,0.9549447,0.86600775,0.98954135,0.99128187,0.8877146,0.6,0.033333335,0.05,0.5011832
2024-06-27,SH600000,0.98903763,0.9598308,0.87228876,0.9768668,0.9720419,0.9586166,0.8649227,0.9893039,0.9912301,0.8877926,0.55,0.033333335,0.033333335,0.4980109
2024-06-28,SH600000,0.98912877,0.9745034,0.8712655,0.97572076,0.9745225,0.97090155,0.86390805,0.9890818,0.9903019,0.8899265,0.5,0.6666667,0.016666668,0.4975175
2024-07-01,SH600000,0.9782338,0.98554105,0.8610852,0.97707534,0.9686135,0.9650145,0.85986936,0.98622507,0.9842972,0.88625616,0.45,0.6333333,0.15,0.49185783
2024-07-02,SH600000,0.94846064,0.9754,0.84764564,0.95311743,0.94141006,0.9367603,0.8346936,0.96065503,0.9554784,0.86054933,0.4,0.6,0.13333334,0.4838795
2024-07-03,SH600000,0.96370363,0.98717177,0.8523242,0.9531521,0.94141006,0.9367603,0.8346936,0.96065503,0.9554784,0.86054933,0.35,0.56666666,0.11666667,0.49157083
2024-07-04,SH600000,0.96471304,1.0034832,0.8505982,0.9611377,0.9446892,0.94002324,0.837601,0.96400124,0.9588066,0.86542475,0.3,0.53333336,0.1,0.48556128
2024-07-05,SH600000,0.97962487,1.0216099,0.8728872,0.9832299,0.96284366,0.95808804,0.85369754,0.9841784,0.97723234,0.8872887,0.25,0.5,0.083333336,0.48550686
2024-07-08,SH600000,0.96678627,1.0012217,0.8611896,0.9798339,0.9596929,0.94784665,0.844572,0.97486454,0.96678627,0.87995726,0.2,0.46666667,0.06666667,0.4810072
2024-07-09,SH600000,0.9491172,0.9884527,0.8414661,0.956037,0.9409753,0.92482656,0.82406014,0.95232064,0.9433062,0.8588244,0.15,0.43333334,0.05,0.4758603
2024-07-10,SH600000,0.9447448,0.9827421,0.83312345,0.95051366,0.9355731,0.9194836,0.8192993,0.9516629,0.9378565,0.8796386,0.1,0.4,0.033333335,0.4887257
2024-07-11,SH600000,0.95584166,0.9872015,0.8290547,0.96047336,0.94998765,0.9291181,0.8278841,0.9683706,0.9476835,0.9046479,0.05,0.36666667,0.016666668,0.49841568
2024-07-12,SH600000,0.9309742,0.9501966,0.82576084,0.934388,0.9276038,0.9038843,0.8122478,0.95158,0.9219455,0.88233584,0.1,0.33333334,0.033333335,0.49342364
2024-07-15,SH600000,0.9324442,0.93918526,0.8175558,0.94706255,0.9301888,0.89982224,0.8085975,0.9556538,0.9178022,0.8801682,0.05,0.3,0.016666668,0.49562216
2024-07-16,SH600000,0.96273154,0.93454415,0.828478,0.96613556,0.93228364,0.9018487,0.8183195,0.95780605,0.9198692,0.88533235,0.2,0.26666668,0.06666667,0.49887875
2024-07-17,SH600000,0.9435386,0.92032754,0.81082237,0.9468748,0.9136977,0.8838695,0.8020056,0.9387113,0.9015308,0.87102884,0.15,0.23333333,0.05,0.47140992
2024-07-18,SH600000,0.9349381,0.9118584,0.8073628,0.9470207,0.9085228,0.8788635,0.79746324,0.9421735,0.8964248,0.86761063,0.1,0.2,0.033333335,0.4824678
2024-07-19,SH600000,0.92148495,0.9115283,0.8054903,0.97231424,0.912658,0.8828637,0.8010929,0.9537444,0.9005049,0.8762108,0.05,0.16666667,0.016666668,0.48163193
2024-07-22,SH600000,0.947753,0.9342933,0.82524055,0.9915952,0.9454863,0.89832455,0.8207224,0.9758593,0.91627467,0.8944786,0.05,0.13333334,0.06666667,0.48833993
2024-07-23,SH600000,0.9702205,0.915215,0.8265269,0.9918586,0.9612473,0.8972857,0.81977326,0.9893314,0.91700757,0.89927,0.05,0.1,0.05,0.48972476
2024-07-24,SH600000,0.9803935,0.9149662,0.8359596,0.9964682,0.96571463,0.90145576,0.82358307,0.9991141,0.9244499,0.9111321,0.05,0.06666667,0.033333335,0.4921112
2024-07-25,SH600000,0.97362095,0.92042553,0.8400495,0.97652584,0.9747627,0.90460885,0.8264638,1.0026088,0.92836845,0.9167821,0.05,0.033333335,0.016666668,0.49168494
2024-07-26,SH600000,1.0236267,0.94261014,0.8592084,0.98919564,0.98919564,0.9286908,0.87541854,1.0253111,0.950436,0.9388686,0.05,0.06666667,0.016666668,0.49436793
2024-07-29,SH600000,1.0041487,0.9159328,0.87073296,0.96601194,0.96601194,0.9069251,0.87296325,0.99976707,0.92931074,0.91890234,0.25,0.033333335,0.033333335,0.545071
2024-07-30,SH600000,1.0186487,0.9301413,0.9025383,0.9821682,0.9821682,0.92322695,0.8875633,1.0124325,0.94508994,0.9356768,0.2,0.13333334,0.016666668,0.5354995
2024-07-31,SH600000,1.0381403,0.94397223,0.8979969,0.9810066,0.9810066,0.92213506,0.89111215,0.9997635,0.94485915,0.9356937,0.15,0.1,0.033333335,0.50351834
2024-08-01,SH600000,1.0233283,0.92298776,0.87792516,0.9615329,0.9615329,0.90383,0.8734229,0.9799174,0.93084115,0.9173368,0.1,0.06666667,0.016666668,0.48196632
