event_id,datetime,instrument,side,requested_shares,executed_shares,unfilled_shares,base_price,fill_price,gross_value,status,reason,commission,stamp_tax,slippage_cost,cash_fee,implementation_cost,split_id
event_000080,2024-08-05,SH603296,sell,600.0243425048111,600.0243425048111,0.0,48.059996264173144,48.01193626790897,28808.330491534976,filled,,8.642499147460493,28.808330491534978,28.837167659193423,37.45082963899547,66.2879972981889,split_001
event_000081,2024-08-05,SZ000069,sell,20598.318735019202,20598.318735019202,0.0,2.0100000089248122,2.0079900089158875,41361.218220383504,filled,,12.40836546611505,41.361218220383506,41.402620841222536,53.76958368649856,95.17220452772109,split_001
event_000082,2024-08-05,SZ002966,sell,12095.848786197545,12095.848786197545,0.0,7.129999839611613,7.122869839772001,86157.15650564925,filled,,25.847146951694775,86.15715650564925,86.24339990555869,112.00430345734404,198.2477033629027,split_001
event_000083,2024-08-05,SH600248,sell,3999.3214830265106,3999.3214830265106,0.0,3.5499998300464064,3.54644983021636,14183.39299446001,filled,,5.0,14.183392994460009,14.19759058504477,19.183392994460007,33.38098357950478,split_001
event_000084,2024-08-05,SH600298,sell,1800.0042727508337,1800.0042727508337,0.0,29.409997522673578,29.380587525150904,52885.183081201474,filled,,15.86555492436044,52.885183081201475,52.9381212024039,68.75073800556191,121.6888592079658,split_001
event_000085,2024-08-05,SZ002594,sell,799.9774818040364,799.9774818040364,0.0,230.83999804788067,230.60915804983279,184482.13353765427,filled,,55.344640061296275,184.48213353765428,184.66680033799486,239.82677359895055,424.4935739369454,split_001
event_000086,2024-08-05,SZ000895,sell,4199.979277499295,4199.979277499295,0.0,22.899999319454746,22.877099320135294,96083.34307386144,filled,,28.82500292215843,96.08334307386144,96.17952259644949,124.90834599601988,221.08786859246936,split_001
event_000087,2024-08-05,SH601100,sell,1400.0346326162216,1400.0346326162216,0.0,44.28999975765813,44.24570975790047,61945.526005746164,filled,,18.58365780172385,61.94552600574617,62.00753353928653,80.52918380747002,142.53671734675655,split_001
event_000088,2024-08-05,SZ002308,sell,698.5046690576844,400.0,298.5046690576844,0.6999999764738708,0.699299976497397,279.71999059895876,partial,cash_volume_or_lot,5.0,0.27971999059895875,0.27999999058954117,5.2797199905989585,5.5597199811885,split_001
event_000089,2024-08-05,SH603128,sell,7100.488032060762,6400.0,700.4880320607617,5.499999774154921,5.494499774380767,35164.798556036905,partial,cash_volume_or_lot,10.54943956681107,35.16479855603691,35.199998554588774,45.71423812284797,80.91423667743675,split_001
event_000090,2024-08-05,SH688301,sell,299.99915602855464,299.99915602855464,0.0,101.75000488616422,101.64825488127806,30494.39067615883,filled,,9.148317202847648,30.49439067615883,30.524915591748222,39.64270787900648,70.1676234707547,split_001
event_000091,2024-08-05,SH601838,sell,6101.51358017957,6101.51358017957,0.0,14.610000243854318,14.595390243610462,89053.97177940965,filled,,26.716191533822894,89.05397177940965,89.14311489431321,115.77016331323254,204.91327820754577,split_001
event_000092,2024-08-05,SZ000001,sell,18899.916122987896,18899.916122987896,0.0,10.110000331430394,10.099890331098964,190887.08010914686,filled,,57.26612403274405,190.88708010914686,191.07815826740793,248.1532041418909,439.23136240929887,split_001
event_000093,2024-08-05,SH688223,sell,17781.434132991842,17781.434132991842,0.0,6.9600004011736765,6.953040400772502,123635.02991036745,filled,,37.09050897311023,123.63502991036745,123.75878869908125,160.72553888347767,284.48432758255893,split_001
event_000094,2024-08-05,SH600233,buy,11200.0,7100.0,4100.0,14.02999939511561,14.044029394510725,99712.60870102615,partial,cash_volume_or_lot,29.913782610307845,0.0,99.6129957053162,29.913782610307845,129.52677831562403,split_001
event_000095,2024-08-05,SH600176,buy,18300.0,7300.0,11000.0,10.499999838398413,10.510499838236809,76726.6488191287,partial,cash_volume_or_lot,23.01799464573861,0.0,76.64999882029323,23.01799464573861,99.66799346603185,split_001
event_000096,2024-08-05,SH600282,buy,43100.0,16199.999999999998,26900.0,4.460000234927726,4.464460235162654,72324.25580963498,partial,cash_volume_or_lot,21.697276742890494,0.0,72.25200380582616,21.697276742890494,93.94928054871666,split_001
event_000097,2024-08-05,SZ002922,buy,11300.0,4900.0,6400.0,16.969999570729872,16.986969570300598,83236.15089447293,partial,cash_volume_or_lot,24.970845268341876,0.0,83.15299789655839,24.970845268341876,108.12384316490026,split_001
event_000098,2024-08-05,SH603530,buy,8200.0,2600.0,5600.0,23.200000441055963,23.223200441497017,60380.321147892246,partial,cash_volume_or_lot,18.114096344367674,0.0,60.320001146741475,18.114096344367674,78.43409749110916,split_001
event_000099,2024-08-05,SH600326,buy,45700.0,16800.0,28900.0,4.209999936685218,4.214209936621903,70798.72693524796,partial,cash_volume_or_lot,21.239618080574388,0.0,70.72799893630659,21.239618080574388,91.96761701688098,split_001
event_000100,2024-08-05,SZ002271,buy,15600.000000000002,15600.000000000002,0.0,12.330000086094218,12.34233008618031,192540.34934441285,filled,,57.76210480332385,0.0,192.3480013430279,57.76210480332385,250.11010614635177,split_001
