instrument,old_fill_count,old_buy_executed_shares,old_sell_executed_shares,old_gross_value,old_cash_fee,old_slippage_cost,new_fill_count,new_buy_executed_shares,new_sell_executed_shares,new_gross_value,new_cash_fee,new_slippage_cost,delta_fill_count,delta_buy_executed_shares,delta_sell_executed_shares,delta_gross_value,delta_cash_fee,delta_slippage_cost,is_focus_instrument,absolute_gross_value_impact
SZ002508,76,103000.0,102999.57034550882,4044505.3950492716,2297.597613543719,4044.503856939833,53,215000.0,214999.08580798714,8437393.108339109,4762.506363216557,8437.397285675679,-23,112000.0,111999.51546247832,4392887.713289836,2464.9087496728375,4392.893428735846,False,4392887.713289836
SH603225,100,230600.0,230606.8695166966,5149055.953716596,2906.352785396884,5149.054352102493,65,428400.0,428442.3967439602,9516133.228926452,5405.018273102706,9516.166451488962,-35,197800.0,197835.5272272636,4367077.275209856,2498.665487705822,4367.112099386469,False,4367077.275209856
SZ301622,47,10200.0,10200.029278219714,1374065.1644311403,771.689433142953,1374.0476681008176,33,42900.0,42900.494100430515,5723143.138183184,3207.1295615726785,5723.14610230032,-14,32700.0,32700.4648222108,4349077.973752044,2435.4401284297255,4349.098434199503,False,4349077.973752044
SH600511,52,54900.0,54900.119386650986,3400817.8584716413,1921.4145512174828,3400.8245849381833,43,125500.0,125499.88907246088,7715588.933074124,4339.2577283261335,7715.593352188507,-9,70600.0,70599.7696858099,4314771.074602483,2417.8431771086507,4314.768767250323,False,4314771.074602483
SH603707,30,37000.0,37001.48814395887,1002440.1807943865,571.7229516341811,1002.4494822614622,24,200900.0,200905.74057032296,5309370.727963949,2979.7867919738464,5309.402194103226,-6,163900.0,163904.25242636408,4306930.547169562,2408.063840339665,4306.952711841764,False,4306930.547169562
SH603863,52,90200.0,90200.7755830702,3783152.7683444372,2130.155192208436,3783.171023381679,44,211500.0,211487.43658945608,8067173.249762409,4554.262986924713,8067.265341079155,-8,121300.0,121286.66100638588,4284020.481417973,2424.107794716277,4284.094317697476,False,4284020.481417973
SZ300529,89,116000.0,106998.45764555561,5147141.068378482,2846.402338730066,5146.916310662267,65,208300.0,192496.61858373502,9407160.850406474,5224.465996577591,9406.753746126891,-24,92300.0,85498.16093817941,4260019.7820279915,2378.063657847525,4259.837435464624,False,4260019.7820279915
SZ002042,58,298000.0,298003.7221088995,2597058.851099807,1481.3216918344967,2597.064439529861,45,870700.0,870720.6754905455,6849974.231418215,3867.528665306594,6849.9860574947115,-13,572700.0,572716.953381646,4252915.380318408,2386.206973472097,4252.92161796485,False,4252915.380318408
SH600755,47,201300.0,201299.7001028827,2656576.6889566514,1515.0761706710482,2656.6033542895625,41,539800.0,539798.7518068545,6907991.776311739,3906.7699753979223,6908.035471705308,-6,338500.0,338499.0517039718,4251415.087355088,2391.693804726874,4251.432117415745,False,4251415.087355088
SH601222,57,227100.0,227078.2885468687,3032460.4218714763,1713.461034947095,3032.474884746786,42,547300.0,547249.8382629568,7248190.990153189,4095.1549181621913,7248.233888009129,-15,320200.0,320171.5497160881,4215730.568281712,2381.6938832150963,4215.759003262343,False,4215730.568281712
SH600422,94,149500.0,149499.7052808977,4080698.7726093023,2333.586129911616,4080.6826412276864,69,302200.0,302199.00733408384,8249379.834895261,4707.6382710605,8249.364985813081,-25,152700.0,152699.30205318614,4168681.0622859583,2374.0521411488844,4168.682344585395,False,4168681.0622859583
SZ002630,72,502300.0,502311.2818651743,2553980.3740398483,1441.8661679638112,2553.9585306210215,53,1328300.0,1328188.1254742977,6707532.374915436,3811.015409664849,6707.530777834131,-19,826000.0,825876.8436091234,4153552.0008755876,2369.1492417010377,4153.572247213109,False,4153552.0008755876
