factor,full_coverage,infinite_fraction,coverage_A,coverage_B,coverage_C,coverage_D,worst_era_coverage
kunquant_alpha101_alpha015,0.958207303244732,0.0,0.9467965596393119,0.9147789641070688,0.9830109572921097,0.9947898396715019,0.9147789641070688
kunquant_alpha101_alpha016,0.9488455126863345,0.0,0.9301454048239648,0.9062529670565365,0.9784799522720439,0.9910804806415892,0.9062529670565365
kunquant_alpha101_alpha024,0.9581506819403639,0.0,0.9509675241052402,0.9114012157161954,0.9812321182842321,0.9932271354779247,0.9114012157161954
kunquant_alpha101_alpha026,1.0,0.0,1.0,1.0,1.0,1.0,1.0
kunquant_alpha101_alpha035,0.8312780000632471,0.0,0.7263448686707448,0.7991267717810127,0.9173480298176433,0.9405388303104086,0.7263448686707448
kunquant_alpha101_alpha040,0.9258604254729611,0.0,0.8894442514669969,0.8855650266087338,0.967205524058849,0.9815955815089175,0.8855650266087338
kunquant_alpha101_alpha041,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
kunquant_alpha101_alpha042,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
kunquant_alpha101_alpha042_canonical_vwap_v2,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
kunquant_alpha101_alpha044,1.0,0.0,1.0,1.0,1.0,1.0,1.0
kunquant_alpha101_alpha045,0.8527562979906966,0.0,0.7697329751907604,0.8202785122606461,0.9233016950684994,0.9438355033737078,0.7697329751907604
kunquant_alpha101_alpha050,0.9488057573024165,0.0,0.9301454048239648,0.9062529670565365,0.9784799522720439,0.9908988988162791,0.9062529670565365
kunquant_alpha101_alpha050_canonical_vwap_v2,0.9488057573024165,0.0,0.9301454048239648,0.9062529670565365,0.9784799522720439,0.9908988988162791,0.9062529670565365
kunquant_alpha101_alpha055,1.0,0.0,1.0,1.0,1.0,1.0,1.0
kunquant_alpha101_alpha071,0.8864970236168063,0.0,0.8207987852143331,0.8500518786633543,0.9470944373779489,0.9645963587341546,0.8207987852143331
kunquant_alpha101_alpha077,0.9677041717553057,0.0,0.9636417230794251,0.9234135682342743,0.9875693606796438,0.998677341477003,0.9234135682342743
kunquant_alpha101_alpha083,0.9384817057469118,0.0,0.9132732834656039,0.8967891239917131,0.9714844640982067,0.9865574424475029,0.8967891239917131
kunquant_alpha101_alpha084,0.8248943997614677,0.0,0.7158255354240304,0.7928152661932126,0.913804050985622,0.9376679116026659,0.7158255354240304
kunquant_alpha101_alpha084_canonical_vwap_v2,0.8587126785039326,0.0,0.732389187488344,0.8320647708014998,0.9579770689363474,0.9824739148078603,0.732389187488344
