datetime,cash,nav,turnover,accounting_error,daily_return,holding_valuation_missing_count,unfilled_shares,calendar_mode
2023-02-15,8812839.956760723,10270902.212379444,0.0,0.0,0.0013468956268942733,4,0,signal_date_only
2023-02-16,8812839.956760723,10255064.02513789,0.0,0.0,-0.0015420444001954525,4,0,signal_date_only
2023-02-17,8812839.956760723,10240579.447848666,0.0,0.0,-0.0014124316780195212,4,0,signal_date_only
2023-02-20,8812839.956760723,10243671.46818148,0.0,0.0,0.00030193802494871136,4,0,signal_date_only
2023-02-21,8812839.956760723,10249300.33631133,0.0,0.0,0.0005494971356054812,4,0,signal_date_only
2023-02-22,8812839.956760723,10249289.650140274,0.0,0.0,-1.0426244430039588e-06,4,0,signal_date_only
2023-02-23,8812839.956760723,10242486.13356458,0.0,0.0,-0.000663803717909417,4,0,signal_date_only
2023-02-24,8812839.956760723,10249587.16274606,0.0,0.0,0.0006932915591859601,4,0,signal_date_only
2023-02-27,8812839.956760723,10233951.392162908,0.0,0.0,-0.0015255024748688228,4,0,signal_date_only
2023-02-28,8812839.956760723,10248220.285976995,0.0,0.0,0.0013942702351521508,4,0,signal_date_only
2023-03-01,8812839.956760723,10257806.658418048,0.0,0.0,0.000935418265176402,4,0,signal_date_only
2023-03-02,8812839.956760723,10259253.759921659,0.0,0.0,0.0001410731896007711,4,0,signal_date_only
2023-03-03,8812839.956760723,10258458.30537485,0.0,0.0,-7.753532229770599e-05,4,0,signal_date_only
2023-03-06,8812839.956760723,10263040.98351704,0.0,0.0,0.00044672191529882,4,0,signal_date_only
2023-03-07,8802646.242272748,10238258.298913283,0.20390457901395345,-1.862645149230957e-09,-0.002414750622506401,4,9766600,signal_date_only
2023-03-08,8802646.242272748,10246132.39391212,0.0,0.0,0.0007690854019255511,4,0,signal_date_only
2023-03-09,8802646.242272748,10248330.484355135,0.0,0.0,0.00021452879569672234,4,0,signal_date_only
2023-03-10,8802646.242272748,10236194.106656952,0.0,0.0,-0.0011842297354394127,4,0,signal_date_only
2023-03-13,8802646.242272748,10228036.819476528,0.0,0.0,-0.0007969062617833034,4,0,signal_date_only
2023-03-14,8802646.242272748,10216700.990975542,0.0,0.0,-0.0011083093169356184,4,0,signal_date_only
2023-03-15,8802646.242272748,10234832.001937075,0.0,0.0,0.0017746443766484266,4,0,signal_date_only
2023-03-16,8802646.242272748,10226505.87697987,0.0,0.0,-0.000813508707874111,4,0,signal_date_only
2023-03-17,8802646.242272748,10231438.816068215,0.0,0.0,0.0004823679903660505,4,0,signal_date_only
2023-03-20,8802646.242272748,10229170.894963188,0.0,0.0,-0.00022166199161210987,4,0,signal_date_only
2023-03-21,8802646.242272748,10238693.060109658,0.0,0.0,0.0009308833769858804,4,0,signal_date_only
2023-03-22,8802646.242272748,10235505.46042387,0.0,0.0,-0.00031132876697004264,4,0,signal_date_only
2023-03-23,8802646.242272748,10233386.85954277,0.0,0.0,-0.00020698546733144418,4,0,signal_date_only
