factor,source_family,dependency_class,max_lookback_trading_days,state_propagation_rule,recompute_policy,illegal_input_date_count,affected_instrument_count,materialization_mode,recompute_start,recompute_end
alpha158_MIN10,alpha158,pure_time_series,10,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_MIN20,alpha158,pure_time_series,20,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_MIN30,alpha158,pure_time_series,30,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_MIN5,alpha158,pure_time_series,5,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_MIN60,alpha158,pure_time_series,60,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_OPEN0,alpha158,pure_time_series,0,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_QTLD10,alpha158,pure_time_series,10,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_QTLD20,alpha158,pure_time_series,20,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_QTLD30,alpha158,pure_time_series,30,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_QTLD5,alpha158,pure_time_series,5,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_QTLD60,alpha158,pure_time_series,60,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_QTLU10,alpha158,pure_time_series,10,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_QTLU20,alpha158,pure_time_series,20,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_QTLU30,alpha158,pure_time_series,30,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_QTLU5,alpha158,pure_time_series,5,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_QTLU60,alpha158,pure_time_series,60,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_RANK10,alpha158,pure_time_series,10,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_RANK20,alpha158,pure_time_series,20,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
