instrument,board,list_date,delist_date,selection_reason,event_evidence,seed,sample_sha256
SH688009,star,2019-07-22,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688018,star,2019-07-22,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688047,star,2022-06-24,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688169,star,2020-02-21,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688183,star,2021-02-25,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688195,star,2021-03-26,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688213,star,2022-05-20,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688234,star,2022-01-12,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688239,star,2021-07-05,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688259,star,2022-01-12,2026-06-09,historical_st_probe,candidate_probe_pending_external_evidence,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688261,star,2022-02-10,2026-06-09,historical_st_probe,candidate_probe_pending_external_evidence,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688278,star,2020-01-17,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688301,star,2020-09-18,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688336,star,2020-07-22,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688348,star,2022-06-08,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688425,star,2021-06-22,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688475,star,2022-12-28,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688535,star,2023-04-04,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
