factor,split_id,test_family,metric,train_mean_ic,validation_mean_ic,test_mean_ic,train_count,validation_count,test_count,train_coverage,validation_coverage,test_coverage,selection_eligible,eligible,eligibility_reason,raw_statistic,bootstrap_standard_error,raw_p_value,bootstrap_samples,block_length,random_seed,observation_count,fdr_bh_q_value,fdr_by_q_value,fdr_bh_pass,fdr_by_pass,selected,frozen_direction,selection_reason,test_metrics_used_in_selection
std_20|10d_t1,split_006,split_006|selection_history,daily_rank_ic,-0.06900708206293397,-0.0919789492737484,-0.051389418708214854,320,84,118,0.2471042471042471,1.0,1.0,False,False,train_coverage=0.247104<0.8,,,,1000,20,20260712,404,,,False,False,False,-1,selection_ineligible;fdr_not_passed,False
std_20|20d_t1,split_006,split_006|selection_history,daily_rank_ic,-0.08295944256336807,-0.12467654790299881,-0.07199894084264494,320,84,118,0.2471042471042471,1.0,1.0,False,False,train_coverage=0.247104<0.8,,,,1000,20,20260712,404,,,False,False,False,-1,selection_ineligible;fdr_not_passed,False
amount_mean_20|10d_t1,split_007,split_007|selection_history,daily_rank_ic,-0.06886486406240358,-0.07375653097273574,-0.11057871746751496,445,77,122,0.31338028169014087,1.0,0.976,False,False,train_coverage=0.31338<0.8,,,,1000,20,20260712,522,,,False,False,False,-1,selection_ineligible;fdr_not_passed,False
amount_mean_20|20d_t1,split_007,split_007|selection_history,daily_rank_ic,-0.09590900776170892,-0.1019251347079595,-0.14352663371034008,445,77,122,0.31338028169014087,1.0,0.976,False,False,train_coverage=0.31338<0.8,,,,1000,20,20260712,522,,,False,False,False,-1,selection_ineligible;fdr_not_passed,False
downside_std_20|10d_t1,split_007,split_007|selection_history,daily_rank_ic,-0.04157635480123335,-0.06882867900182917,-0.11049081777715454,445,77,122,0.31338028169014087,1.0,0.976,False,False,train_coverage=0.31338<0.8,,,,1000,20,20260712,522,,,False,False,False,-1,selection_ineligible;fdr_not_passed,False
downside_std_20|20d_t1,split_007,split_007|selection_history,daily_rank_ic,-0.04958167302699789,-0.09018590336408695,-0.1260497348117596,445,77,122,0.31338028169014087,1.0,0.976,False,False,train_coverage=0.31338<0.8,,,,1000,20,20260712,522,,,False,False,False,-1,selection_ineligible;fdr_not_passed,False
rev_20_exclude_5|10d_t1,split_007,split_007|selection_history,daily_rank_ic,0.03793489839269897,0.011925508025661032,-0.011216828081711896,445,77,122,0.31338028169014087,1.0,0.976,False,False,train_coverage=0.31338<0.8,,,,1000,20,20260712,522,,,False,False,False,1,selection_ineligible;fdr_not_passed,False
rev_20_exclude_5|20d_t1,split_007,split_007|selection_history,daily_rank_ic,0.06370698062362419,-0.008903233353141487,0.009272715547021302,445,77,122,0.31338028169014087,1.0,0.976,False,False,train_coverage=0.31338<0.8,,,,1000,20,20260712,522,,,False,False,False,1,direction_mismatch;selection_ineligible;weak_validation_ic;fdr_not_passed,False
rev_5|10d_t1,split_007,split_007|selection_history,daily_rank_ic,0.018252008158967502,-0.019255281500598485,0.046274139684410194,445,77,122,0.31338028169014087,1.0,0.976,False,False,train_coverage=0.31338<0.8,,,,1000,20,20260712,522,,,False,False,False,1,direction_mismatch;selection_ineligible;fdr_not_passed,False
rev_5|20d_t1,split_007,split_007|selection_history,daily_rank_ic,0.02083708555848548,-0.018420375044775974,-0.007728205284767745,445,77,122,0.31338028169014087,1.0,0.976,False,False,train_coverage=0.31338<0.8,,,,1000,20,20260712,522,,,False,False,False,1,direction_mismatch;selection_ineligible;fdr_not_passed,False
