api,segment,row_count,data_sha256,cache_hit,cache_root
moneyflow,20100318,1695,0270bdd74744a4e487e2e679eef951347d4a39b4e3023fd98d0fa3b97f94588d,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100319,1701,6ef3c0194d5ce50d220d09ed7f3ee3583f4a0796969ed63788ce22a107232d8d,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100319,1699,f05b8fa34fe63f4f446b8e02a0ccece565130cccb8623eac753f6b6c12fba8c4,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100322,1695,4d7c9b0cd86e23c394f06959391dcb57de0850e83d2ad233d25cbe6eff3373af,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100322,1693,408a34ccd6da710ef22fd92a8675784133e0640e4de99a0a06d0b69b01841ee7,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100323,1712,742616bbdae3d228aa6e2c663823365c215eaa4f610ada8c8adaa7af4375e650,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100323,1710,4f3d6827b215f839dc3e8858816b427df301b6d8388663cdee954e99ef33f800,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100324,1711,8ac23ca9168ca5c2c607024b8d5d76ff9699836c5e82fa94dcad170d70baf845,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100324,1709,b24ea73c72e2d82395af1f307c842a0201003e4cb948b48b96605007d1df4c81,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100325,1701,69d66728bc92ccb6cd9f4635a3f6c3098a6d66641cf3102c0362721e87836969,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100325,1699,cd33517ca1b5d2cae1520a331d201fc143f836a58866dbd1a74c1d2667e8b2f4,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100326,1698,aa23faa947063a24e8b7e07d180a278023864833cb1dec0ee9a71ac16ee70a3a,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100326,1696,02ea99dd9ee16bfe05e4e73d7f0d354bbe1a2699da20a4a3149fabe3fd6eb42c,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100329,1700,f1293a268d84ac5f26a3cb083fee7d5ebdac3cb790ee691066b3655ad6a377d9,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100329,1698,6fec048d22f01296d0d9f7117365194ac12c8a1ea45689a8a55b810d9aaf2269,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100330,1696,6b983e8d4a64fac863335d2ae6628390bd0274f1b61d12c7fc93544592627aba,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100330,830,46201ad732eb20cda34fbc343e2587a59c97008a3edb7f0222a2492a1ab0f273,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100331,1693,016b77a46094d634e66720a549da08c7720dc23220810893620fd0860a853ac0,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100331,1691,bba376efe8efae218eefe9e03d4bc7b8d857736ec1f8ab02afca1efbc89e7e6f,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100401,1725,75d901dcb0d12cae18b51e9aef634752019f62ba3dd8f5b464bb0e7cda6e0a0d,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100401,1723,bc999a5210d7e7191a9d43341d9b4edc689f75fd2224184498138907df4ce89c,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100402,1709,f31fb19b4d1770326f0345e2831984ff976c0a561c79981b5b24c7c13e83db0d,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100402,1707,727ce229fee9581fc5054c48da4211a47c02c396213fc3c4f5fb8246bf33e43d,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100406,1714,c558187709a695692fa248fda4ecbd40f9fb22a0ffc59b3c4338d4267c8cbbe9,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100406,1712,d86eade7d01c0d3757416206d52f0ad625845a8d9de4cd9a33be7c374acc6b47,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100407,1718,6bff0e0f40e463f774e5a63493470e2831b88fd23decae987e322992837b00a8,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100407,1716,650574822e1a27f911c4f59a2d03f3ad7856549b87fb6b1175556f686224374c,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100408,1705,64e7ea3a756ef7b0822edb4f3347597c3a6b9b9d2c866a392998fe68846abebf,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100408,1703,3805edf5ebaba4f20b93a889f07910cf00e8ceeca5b178fae2fed7c1bc01dd2e,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100409,1698,ac6038cc2a7a55d17f56e5fcafaeab56e9cc24b268fcbf0dfe5eb796fc978be3,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100409,1696,b51f90c3da96f11c47024be6a0f246715cc3b04f171905c73fd912dbf11bdb36,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100412,1695,b72bbcf59f412cfb34ceafcc261e7184bf397083d5c99c7ffbca3b0efd58c016,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100412,1693,df9dfad1b0c82ae4473eae4cb00d4a6f1627b2995c0b85be822a99d058f0bfbb,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100413,1720,2c0e27822d5f750e559fe080ec2b23eaea98d6f0481c45cf75dba7eea9f9b2d9,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100413,1718,9f319b780a3b7730e2a7faa01137df308f56d1b2bcc9f7eb1acbd28900db632f,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100414,1733,28ff2dc5fff548fc24dc9bb1f6ddce6b5a5e65ee0a621c738352a4115b68b151,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100414,1731,7192230712c03ddbab843ca8d9578755c9f4b45b17eb7159ad3a58fec7020d68,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100415,1698,9448aea787fb547ee03505fc4aa7ac888df2e1893dadd68a5b9024bb438801a8,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100415,1696,84380a0072d2658729bc5c4e68f8d5cefabc0e7c61ad18358900ed419cd3d383,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100416,1665,0ee9552590b44a8ae33885017b560ea2d9b18b163e3d30467c68c134e80de2d4,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100416,1663,d768551439db43f665e23443666c7632ced5a078380e3adf1fff1d3ca357de6c,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100419,1704,ee8429e1a84759e108aaffe7a7d2eb825d81f85e6761350e767fa3e517fc30e4,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100419,1702,97a79b44d8c767b238f71103863a5966b72b79d337d70eb6712dcdbd078727ca,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100420,1680,be1bc1361dec7bd61397f684fd6521dcbaa9456f9d01b00ca241b9be2173bf12,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
