batch_id,factor,ic_days,mean_rank_ic,std_rank_ic,min_pair_count,median_pair_count,max_factor_missing_count,max_label_missing_count,rank_ic_ir
alpha360_008,alpha360_OPEN17,1273,0.0610931407094183,0.1596499717528217,0,1991.0,25,2000,0.3826692860554078
alpha360_008,alpha360_OPEN18,1273,0.06284329444438447,0.16089883968250798,0,1991.0,24,2000,0.3905764303110536
alpha360_008,alpha360_OPEN19,1273,0.06450367130827718,0.16236432807136802,0,1991.0,23,2000,0.3972773581147965
alpha360_008,alpha360_OPEN2,1273,0.02260769906532266,0.14981411856200427,0,1993.0,29,2000,0.15090499668738433
alpha360_008,alpha360_OPEN20,1273,0.06617162251633929,0.163455079017173,0,1991.0,24,2000,0.40483062939504705
alpha360_008,alpha360_OPEN21,1273,0.0681648523044324,0.16383607913464698,0,1991.0,23,2000,0.4160551977590468
alpha360_008,alpha360_OPEN22,1273,0.06969546770572933,0.16428664054916547,0,1991.0,25,2000,0.4242308898201118
alpha360_008,alpha360_OPEN23,1273,0.07127517000247817,0.16469303321158618,0,1991.0,24,2000,0.4327758655759821
alpha360_008,alpha360_OPEN24,1273,0.07297546169318982,0.16548959136325478,0,1991.0,25,2000,0.440967078908343
alpha360_008,alpha360_OPEN25,1273,0.0742954690580274,0.16652118392454987,0,1991.0,24,2000,0.4461622678090639
alpha360_008,alpha360_OPEN26,1273,0.0752975700490617,0.16762424682103477,0,1991.0,23,2000,0.4492045242682205
alpha360_008,alpha360_OPEN27,1273,0.07628624369350952,0.16852369579454918,0,1991.0,23,2000,0.4526736927637268
alpha360_009,alpha360_OPEN28,1273,0.07720903607303894,0.1694889682733224,0,1991.0,23,2000,0.4555401856510779
alpha360_009,alpha360_OPEN29,1273,0.07758172127181409,0.1701647161096506,0,1991.0,23,2000,0.45592131580216694
alpha360_009,alpha360_OPEN3,1273,0.02646540211456929,0.15094413889410913,0,1993.0,24,2000,0.1753324263430685
