outer_split_id,inner_split_id,factor,frozen_direction
split_001,split_001_inner_001,alpha360_VWAP57,1
split_001,split_001_inner_001,alpha360_VWAP58,1
split_001,split_001_inner_001,alpha360_VWAP59,1
split_001,split_001_inner_001,alpha360_VWAP6,1
split_001,split_001_inner_001,alpha360_VWAP7,1
split_001,split_001_inner_001,alpha360_VWAP8,1
split_001,split_001_inner_001,alpha360_VWAP9,1
split_001,split_001_inner_001,amount_cv_20,-1
split_001,split_001_inner_001,amount_mean_20,-1
split_001,split_001_inner_001,amount_std_20,-1
split_001,split_001_inner_001,amplitude_20,-1
split_001,split_001_inner_001,corr_ret_amount_20,-1
split_001,split_001_inner_001,corr_ret_volume_20,-1
split_001,split_001_inner_001,downside_std_20,-1
split_001,split_001_inner_001,kunquant_alpha101_alpha002,1
split_001,split_001_inner_001,kunquant_alpha101_alpha003,1
split_001,split_001_inner_001,kunquant_alpha101_alpha004,1
split_001,split_001_inner_001,kunquant_alpha101_alpha005,1
split_001,split_001_inner_001,kunquant_alpha101_alpha006,1
split_001,split_001_inner_001,kunquant_alpha101_alpha008,-1
split_001,split_001_inner_001,kunquant_alpha101_alpha009,1
split_001,split_001_inner_001,kunquant_alpha101_alpha010,1
